Test Time (s),F(kg)      millistrain
73.515,"044.78,000.03899
"
73.715,"036.00,000.03899
"
73.912,"033.00,000.03899
"
74.112,"032.96,000.03899
"
74.315,"032.94,000.03899
"
74.515,"032.91,000.03899
"
74.715,"032.88,000.03899
"
74.915,"032.86,000.03899
"
75.115,"032.82,000.03899
"
75.329,"032.79,000.03899
"
75.529,"032.77,000.03899
"
75.732,"032.75,000.03899
"
75.932,"032.73,000.03899
"
76.13,"032.72,000.03899
"
76.329,"032.70,000.03899
"
76.53,"032.69,000.03899
"
76.731,"032.67,000.03899
"
76.931,"032.65,000.03899
"
