Test Time (s),F(kg),strain raw
41.224,24.38,8506805.00
41.324,24.40,8506805.00
41.424,24.40,8506805.00
41.523,24.41,8506805.00
41.74,24.46,8506805.00
41.84,24.47,8506805.00
41.938,24.49,8506805.00
42.038,24.50,8506805.00
42.14,24.54,8506805.00
42.242,24.59,8506805.00
42.338,24.66,8506805.00
42.438,24.77,8506805.00
42.538,24.80,8506805.00
42.638,24.75,8506805.00
42.74,24.71,8506805.00
42.841,24.63,8506805.00
42.94,24.59,8506805.00
43.04,24.56,8506805.00
43.138,24.53,8506805.00
43.258,24.50,8506805.00
43.358,24.46,8506805.00
43.441,24.43,8506805.00
43.559,24.40,8506805.00
43.656,24.38,8506805.00
43.758,24.40,8506805.00
43.858,24.61,8506805.00
43.954,24.86,8506805.00
44.055,25.05,8506805.00
44.156,25.21,8506805.00
44.258,25.33,8506805.00
44.358,25.44,8506805.00
44.455,25.53,8506805.00
44.558,25.62,8506805.00
44.655,25.71,8506805.00
44.758,25.79,8506805.00
44.955,25.98,8506805.00
45.074,26.02,8506805.00
45.175,26.05,8506805.00
45.272,26.08,8506805.00
45.373,26.12,8506805.00
45.475,26.15,8506805.00
45.572,26.21,8506805.00
45.673,26.27,8506805.00
45.775,26.34,8506805.00
45.873,26.40,8506805.00
45.972,26.45,8506805.00
46.075,26.51,8506805.00
46.175,26.56,8506805.00
46.272,26.61,8506805.00
46.373,26.65,8506805.00
46.471,26.69,8506805.00
46.592,26.73,8506805.00
46.672,26.77,8506805.00
46.888,26.87,8506805.00
46.99,26.74,8506805.00
47.088,26.65,8506805.00
47.192,26.58,8506805.00
47.291,26.51,8506805.00
47.39,26.45,8506805.00
47.492,26.39,8506805.00
47.589,26.34,8506805.00
47.688,26.28,8506805.00
47.789,26.23,8506805.00
47.892,26.18,8506805.00
47.991,26.13,8506805.00
48.088,26.08,8506805.00
48.192,26.04,8506805.00
48.29,26.00,8506805.00
48.609,26.07,8506805.00
48.705,26.24,8506805.00
48.808,26.34,8506805.00
48.907,26.43,8506805.00
49.009,26.52,8506805.00
49.106,26.67,8506805.00
49.208,26.75,8506805.00
49.307,26.83,8506805.00
49.405,26.92,8506805.00
49.507,27.01,8506805.00
49.607,27.11,8506805.00
49.706,27.20,8506805.00
49.808,27.28,8506805.00
49.905,27.35,8506805.00
50.006,27.41,8506805.00
50.108,27.46,8506805.00
50.223,27.51,8506805.00
50.323,27.56,8506805.00
50.422,27.60,8506805.00
50.523,27.65,8506805.00
50.625,27.68,8506805.00
50.724,27.69,8506805.00
50.825,27.70,8506805.00
50.923,27.71,8506805.00
51.022,27.71,8506805.00
51.125,27.74,8506805.00
51.224,27.74,8506805.00
51.325,27.74,8506805.00
51.426,27.73,8506805.00
51.523,27.73,8506805.00
51.622,27.73,8506805.00
51.722,27.73,8506805.00
51.839,27.73,8506805.00
51.922,27.73,8506805.00
52.023,27.68,8506805.00
52.242,27.44,8506805.00
52.339,27.35,8506805.00
52.443,27.26,8506805.00
52.539,27.18,8506805.00
52.642,27.11,8506805.00
52.74,27.04,8506805.00
52.843,26.98,8506805.00
52.941,26.92,8506805.00
53.042,26.86,8506805.00
53.143,26.79,8506805.00
53.242,26.71,8506805.00
53.339,26.69,8506805.00
53.441,26.87,8506805.00
53.54,27.12,8506805.00
53.642,27.26,8506805.00
53.743,27.38,8506805.00
53.857,27.49,8506805.00
53.956,27.58,8506805.00
54.057,27.68,8506805.00
54.157,27.78,8506805.00
54.256,27.87,8506805.00
54.356,27.96,8506805.00
54.456,28.05,8506805.00
54.557,28.15,8506805.00
54.657,28.23,8506805.00
54.756,28.31,8506805.00
54.856,28.38,8506805.00
54.958,28.43,8506805.00
55.055,28.47,8506805.00
55.157,28.50,8506805.00
55.258,28.50,8506805.00
55.474,28.44,8506805.00
55.573,28.41,8506805.00
55.776,28.36,8506805.00
55.874,28.33,8506805.00
55.973,28.30,8506805.00
56.073,28.24,8506805.00
56.175,28.12,8506805.00
56.275,28.03,8506805.00
56.375,27.95,8506805.00
56.473,27.88,8506805.00
56.573,27.81,8506805.00
56.677,27.73,8506805.00
56.773,27.66,8506805.00
56.875,27.59,8506805.00
56.974,27.52,8506805.00
57.093,27.46,8506805.00
57.173,27.39,8506805.00
57.391,27.20,8506805.00
57.489,27.16,8506805.00
57.591,27.21,8506805.00
57.69,27.24,8506805.00
57.792,27.32,8506805.00
57.892,27.47,8506805.00
57.993,27.65,8506805.00
58.091,27.80,8506805.00
58.189,27.93,8506805.00
58.293,28.06,8506805.00
58.393,28.14,8506805.00
58.49,28.20,8506805.00
58.591,28.26,8506805.00
58.693,28.30,8506805.00
58.806,28.30,8506805.00
59.006,28.27,8506805.00
59.109,28.25,8506805.00
59.31,28.21,8506805.00
59.41,28.19,8506805.00
59.506,28.17,8506805.00
59.607,28.16,8506805.00
59.706,28.14,8506805.00
59.809,28.12,8506805.00
59.91,28.09,8506805.00
60.01,28.06,8506805.00
60.107,28.06,8506805.00
60.209,28.21,8506805.00
60.307,28.58,8506805.00
60.409,28.97,8506805.00
60.507,29.27,8506805.00
60.724,29.67,8506805.00
60.826,29.88,8506805.00
61.024,30.47,8506805.00
61.124,30.34,8506805.00
61.225,30.18,8506805.00
61.324,30.02,8506805.00
61.424,29.89,8506805.00
61.527,29.67,8506805.00
61.623,29.57,8506805.00
61.726,29.48,8506805.00
61.824,29.39,8506805.00
61.923,29.30,8506805.00
62.025,29.21,8506805.00
62.124,29.10,8506805.0
62.343,28.95,8506805.00
62.423,28.87,8506805.00
62.54,28.82,8506805.00
62.641,29.08,8506805.00
62.741,29.90,8506805.00
62.841,30.50,8506805.00
62.941,30.96,8506805.00
